Genome	contig	Start	Stop	protID
GCA_000007265	AE009948.1	53	1463	1
GCA_000007265	AE009948.1	1617	2754	2
GCA_000007265	AE009948.1	2814	3705	3
GCA_000007265	AE009948.1	3714	3912	4
GCA_000007265	AE009948.1	4149	4317	5
GCA_000007265	AE009948.1	4476	5592	6
GCA_000007265	AE009948.1	5675	6251	7
GCA_000007265	AE009948.1	6247	9745	8
GCA_000007265	AE009948.1	10035	10308	9
GCA_000007265	AE009948.1	10294	10666	10
GCA_000007265	AE009948.1	10802	12089	11
GCA_000007265	AE009948.1	12090	13365	12
GCA_000007265	AE009948.1	13369	13912	13
GCA_000007265	AE009948.1	13934	15911	14
GCA_000007265	AE009948.1	28901	30245	15
GCA_000007265	AE009948.1	30368	31337	16
GCA_000007265	AE009948.1	31444	32620	17
GCA_000007265	AE009948.1	32609	33371	18
GCA_000007265	AE009948.1	33433	34312	19
GCA_000007265	AE009948.1	34389	35382	20
GCA_000007265	AE009948.1	35392	35632	21
GCA_000007265	AE009948.1	35755	36460	22
GCA_000007265	AE009948.1	36561	40308	23
GCA_000007265	AE009948.1	40719	42174	24
GCA_000007265	AE009948.1	42201	43224	25
GCA_000007265	AE009948.1	43391	43940	26
GCA_000007265	AE009948.1	43962	44715	27
GCA_000007265	AE009948.1	44734	46282	28
GCA_000007265	AE009948.1	46474	47374	29
GCA_000007265	AE009948.1	47520	48825	30
GCA_000007265	AE009948.1	49071	49770	31
GCA_000007265	AE009948.1	49816	51133	32
GCA_000007265	AE009948.1	51220	52108	33
GCA_000007265	AE009948.1	52117	52948	34
GCA_000007265	AE009948.1	52960	53404	35
GCA_000007265	AE009948.1	53423	54086	36
GCA_000007265	AE009948.1	54082	55000	37
GCA_000007265	AE009948.1	55016	55898	38
GCA_000007265	AE009948.1	55905	56883	39
GCA_000007265	AE009948.1	56905	57709	40
GCA_000007265	AE009948.1	57990	59256	41
GCA_000007265	AE009948.1	59587	60025	42
GCA_000007265	AE009948.1	60011	61103	43
GCA_000007265	AE009948.1	61156	62548	44
GCA_000007265	AE009948.1	62572	63871	45
GCA_000007265	AE009948.1	64022	64934	46
GCA_000007265	AE009948.1	65230	66229	47
GCA_000007265	AE009948.1	66380	66818	48
GCA_000007265	AE009948.1	66824	67205	49
GCA_000007265	AE009948.1	67201	68980	50
GCA_000007265	AE009948.1	69249	71892	51
GCA_000007265	AE009948.1	72070	73087	52
GCA_000007265	AE009948.1	73206	74697	53
GCA_000007265	AE009948.1	74801	76082	54
GCA_000007265	AE009948.1	76287	76596	55
GCA_000007265	AE009948.1	76700	77327	56
GCA_000007265	AE009948.1	77350	77974	57
GCA_000007265	AE009948.1	77973	78270	58
GCA_000007265	AE009948.1	78287	79121	59
GCA_000007265	AE009948.1	79219	79498	60
GCA_000007265	AE009948.1	79513	79858	61
GCA_000007265	AE009948.1	79870	80524	62
GCA_000007265	AE009948.1	80527	80941	63
GCA_000007265	AE009948.1	80950	81157	64
GCA_000007265	AE009948.1	81182	81443	65
GCA_000007265	AE009948.1	81467	81836	66
GCA_000007265	AE009948.1	81915	82221	67
GCA_000007265	AE009948.1	82244	82787	68
GCA_000007265	AE009948.1	82804	82990	69
GCA_000007265	AE009948.1	83144	83543	70
GCA_000007265	AE009948.1	83652	84189	71
GCA_000007265	AE009948.1	84289	84646	72
GCA_000007265	AE009948.1	84664	85159	73
GCA_000007265	AE009948.1	85173	85353	74
GCA_000007265	AE009948.1	85477	85918	75
GCA_000007265	AE009948.1	85938	87243	76
GCA_000007265	AE009948.1	87337	87976	77
GCA_000007265	AE009948.1	88091	88310	78
GCA_000007265	AE009948.1	88335	88452	79
GCA_000007265	AE009948.1	88469	88835	80
GCA_000007265	AE009948.1	88852	89236	81
GCA_000007265	AE009948.1	89285	90224	82
GCA_000007265	AE009948.1	90238	90625	83
GCA_000007265	AE009948.1	97887	98076	84
GCA_000007265	AE009948.1	98075	98246	85
GCA_000007265	AE009948.1	98315	98486	86
GCA_000007265	AE009948.1	99400	99952	87
GCA_000007265	AE009948.1	100171	100591	88
GCA_000007265	AE009948.1	100790	101270	89
GCA_000007265	AE009948.1	101391	102084	90
GCA_000007265	AE009948.1	102080	102833	91
GCA_000007265	AE009948.1	102829	103405	92
GCA_000007265	AE009948.1	103499	104582	93
GCA_000007265	AE009948.1	104623	105157	94
GCA_000007265	AE009948.1	105337	107167	95
GCA_000007265	AE009948.1	107455	108595	96
GCA_000007265	AE009948.1	108708	109956	97
GCA_000007265	AE009948.1	110026	110803	98
GCA_000007265	AE009948.1	110765	111524	99
GCA_000007265	AE009948.1	111533	111998	100
GCA_000007265	AE009948.1	111994	112564	101
GCA_000007265	AE009948.1	112600	113443	102
GCA_000007265	AE009948.1	113599	114883	103
GCA_000007265	AE009948.1	115071	115647	104
GCA_000007265	AE009948.1	115919	117524	105
GCA_000007265	AE009948.1	117632	118559	106
GCA_000007265	AE009948.1	118753	119200	107
GCA_000007265	AE009948.1	119361	120726	108
GCA_000007265	AE009948.1	120861	121359	109
GCA_000007265	AE009948.1	121512	122832	110
GCA_000007265	AE009948.1	123040	124495	111
GCA_000007265	AE009948.1	124534	125503	112
GCA_000007265	AE009948.1	125555	126497	113
GCA_000007265	AE009948.1	126498	127977	114
GCA_000007265	AE009948.1	127992	128391	115
GCA_000007265	AE009948.1	128365	129277	116
GCA_000007265	AE009948.1	129269	130256	117
GCA_000007265	AE009948.1	130437	131526	118
GCA_000007265	AE009948.1	131525	132212	119
GCA_000007265	AE009948.1	132242	132914	120
GCA_000007265	AE009948.1	132957	133977	121
GCA_000007265	AE009948.1	134130	135321	122
GCA_000007265	AE009948.1	135339	136728	123
GCA_000007265	AE009948.1	136868	137750	124
GCA_000007265	AE009948.1	137833	138751	125
GCA_000007265	AE009948.1	138989	139178	126
GCA_000007265	AE009948.1	139309	139675	127
GCA_000007265	AE009948.1	139674	141339	128
GCA_000007265	AE009948.1	141486	142371	129
GCA_000007265	AE009948.1	142462	142579	130
GCA_000007265	AE009948.1	142946	143237	131
GCA_000007265	AE009948.1	143578	144319	132
GCA_000007265	AE009948.1	144328	145879	133
GCA_000007265	AE009948.1	146014	147898	134
GCA_000007265	AE009948.1	147943	148783	135
GCA_000007265	AE009948.1	148902	149658	136
GCA_000007265	AE009948.1	149659	150820	137
GCA_000007265	AE009948.1	150984	151755	138
GCA_000007265	AE009948.1	151791	153054	139
GCA_000007265	AE009948.1	153055	154288	140
GCA_000007265	AE009948.1	154274	154718	141
GCA_000007265	AE009948.1	154817	156236	142
GCA_000007265	AE009948.1	156307	157495	143
GCA_000007265	AE009948.1	157647	158883	144
GCA_000007265	AE009948.1	159123	160779	145
GCA_000007265	AE009948.1	160897	161812	146
GCA_000007265	AE009948.1	161821	162853	147
GCA_000007265	AE009948.1	162865	163912	148
GCA_000007265	AE009948.1	163911	164844	149
GCA_000007265	AE009948.1	170381	171233	150
GCA_000007265	AE009948.1	171318	171762	151
GCA_000007265	AE009948.1	171764	172475	152
GCA_000007265	AE009948.1	172464	173277	153
GCA_000007265	AE009948.1	173487	173991	154
GCA_000007265	AE009948.1	174329	174518	155
GCA_000007265	AE009948.1	175096	176356	156
GCA_000007265	AE009948.1	176466	178764	157
GCA_000007265	AE009948.1	179287	182863	158
GCA_000007265	AE009948.1	182979	186630	159
GCA_000007265	AE009948.1	186743	187109	160
GCA_000007265	AE009948.1	187281	188253	161
GCA_000007265	AE009948.1	188317	189190	162
GCA_000007265	AE009948.1	189186	189642	163
GCA_000007265	AE009948.1	189619	189991	164
GCA_000007265	AE009948.1	190105	191080	165
GCA_000007265	AE009948.1	191111	192305	166
GCA_000007265	AE009948.1	192456	192663	167
GCA_000007265	AE009948.1	192899	193355	168
GCA_000007265	AE009948.1	193423	194089	169
GCA_000007265	AE009948.1	194109	194880	170
GCA_000007265	AE009948.1	194949	196017	171
GCA_000007265	AE009948.1	196201	196441	172
GCA_000007265	AE009948.1	196601	196886	173
GCA_000007265	AE009948.1	196882	197206	174
GCA_000007265	AE009948.1	197238	197865	175
GCA_000007265	AE009948.1	197918	198635	176
GCA_000007265	AE009948.1	198715	199111	177
GCA_000007265	AE009948.1	199234	199879	178
GCA_000007265	AE009948.1	199905	201651	179
GCA_000007265	AE009948.1	201631	202372	180
GCA_000007265	AE009948.1	202541	202997	181
GCA_000007265	AE009948.1	202998	203727	182
GCA_000007265	AE009948.1	203969	205598	183
GCA_000007265	AE009948.1	205710	206688	184
GCA_000007265	AE009948.1	206684	207506	185
GCA_000007265	AE009948.1	207517	208321	186
GCA_000007265	AE009948.1	208304	208931	187
GCA_000007265	AE009948.1	209213	211244	188
GCA_000007265	AE009948.1	211465	213091	189
GCA_000007265	AE009948.1	213306	215226	190
GCA_000007265	AE009948.1	215239	216373	191
GCA_000007265	AE009948.1	216670	216955	192
GCA_000007265	AE009948.1	216967	218323	193
GCA_000007265	AE009948.1	218325	219183	194
GCA_000007265	AE009948.1	219179	220109	195
GCA_000007265	AE009948.1	220217	221477	196
GCA_000007265	AE009948.1	221564	221834	197
GCA_000007265	AE009948.1	222214	224344	198
GCA_000007265	AE009948.1	224345	225098	199
GCA_000007265	AE009948.1	225106	225691	200
GCA_000007265	AE009948.1	225700	225883	201
GCA_000007265	AE009948.1	225879	227223	202
GCA_000007265	AE009948.1	227215	227602	203
GCA_000007265	AE009948.1	227704	228460	204
GCA_000007265	AE009948.1	228456	228975	205
GCA_000007265	AE009948.1	229067	229928	206
GCA_000007265	AE009948.1	230808	231255	207
GCA_000007265	AE009948.1	231275	231668	208
GCA_000007265	AE009948.1	231795	232950	209
GCA_000007265	AE009948.1	233014	233491	210
GCA_000007265	AE009948.1	233644	233950	211
GCA_000007265	AE009948.1	234086	234365	212
GCA_000007265	AE009948.1	234375	234606	213
GCA_000007265	AE009948.1	234618	234945	214
GCA_000007265	AE009948.1	234948	235578	215
GCA_000007265	AE009948.1	235890	236766	216
GCA_000007265	AE009948.1	236801	237236	217
GCA_000007265	AE009948.1	237551	238808	218
GCA_000007265	AE009948.1	238975	239446	219
GCA_000007265	AE009948.1	239750	240086	220
GCA_000007265	AE009948.1	240075	240363	221
GCA_000007265	AE009948.1	240869	241160	222
GCA_000007265	AE009948.1	241333	241669	223
GCA_000007265	AE009948.1	241668	242229	224
GCA_000007265	AE009948.1	242201	242882	225
GCA_000007265	AE009948.1	242866	243253	226
GCA_000007265	AE009948.1	243286	243568	227
GCA_000007265	AE009948.1	244199	244289	228
GCA_000007265	AE009948.1	244285	244411	229
GCA_000007265	AE009948.1	244410	245271	230
GCA_000007265	AE009948.1	245343	246525	231
GCA_000007265	AE009948.1	246586	247237	232
GCA_000007265	AE009948.1	247237	248164	233
GCA_000007265	AE009948.1	248166	248802	234
GCA_000007265	AE009948.1	248801	249947	235
GCA_000007265	AE009948.1	256699	257092	236
GCA_000007265	AE009948.1	257155	257962	237
GCA_000007265	AE009948.1	258448	258790	238
GCA_000007265	AE009948.1	258808	259081	239
GCA_000007265	AE009948.1	259090	259441	240
GCA_000007265	AE009948.1	260301	260883	241
GCA_000007265	AE009948.1	260885	261104	242
GCA_000007265	AE009948.1	261676	262237	243
GCA_000007265	AE009948.1	262336	262915	244
GCA_000007265	AE009948.1	262957	263638	245
GCA_000007265	AE009948.1	263897	264845	246
GCA_000007265	AE009948.1	264841	265333	247
GCA_000007265	AE009948.1	265912	266521	248
GCA_000007265	AE009948.1	266544	267642	249
GCA_000007265	AE009948.1	267644	268361	250
GCA_000007265	AE009948.1	268656	269046	251
GCA_000007265	AE009948.1	269078	269462	252
GCA_000007265	AE009948.1	269497	270169	253
GCA_000007265	AE009948.1	270189	270501	254
GCA_000007265	AE009948.1	270692	271400	255
GCA_000007265	AE009948.1	271677	272826	256
GCA_000007265	AE009948.1	272944	273487	257
GCA_000007265	AE009948.1	273799	274714	258
GCA_000007265	AE009948.1	274713	275355	259
